record_id,name,description,service_type
10.2909/e3284161-abef-4a2e-a291-cd8ce1cab54e,https://image.discomap.eea.europa.eu/arcgis/services/GioLandPublic/HRL_ImperviousnessChange_15_18/ImageServer/WMSServer?request=GetCapabilities&service=WMS,NULL,wms
10.2909/96b7f7df-3f79-4001-b489-1d918c813a62,NULL,NULL,wms
10.2909/3bf542bd-eebd-4d73-b53c-a0243f2ed862,https://image.discomap.eea.europa.eu/arcgis/services/GioLandPublic/HRL_ImperviousnessDensity_2018/ImageServer/WMSServer?request=GetCapabilities&service=WMS,NULL,wms
10.2909/73f0e3eb-ea21-4083-9b49-9c345c766775,https://image.discomap.eea.europa.eu/arcgis/services/GioLandPublic/HRL_ImperviousnessClassifiedChange_15_18/ImageServer/WMSServer?request=GetCapabilities&service=WMS,NULL,wms
10.2909/9ab86774-f1f4-4562-85f1-42705da23ac0,HRL_NVLCC_IMCC_20m,CLMS_NVLCC_IMCC_C2018-2021_R20m,wms
10.2909/3e412def-a4e6-4413-98bb-42b571afd15e,https://image.discomap.eea.europa.eu/arcgis/services/GioLandPublic/HRL_BuiltUp_2018/ImageServer/WMSServer?request=GetCapabilities&service=WMS,NULL,wms
10.2909/9d131e52-0ce9-41a1-9a96-0310eb97c415,https://image.discomap.eea.europa.eu/arcgis/services/GioLandPublic/HRL_ImperviousnessClassifiedChange_12_15/MapServer/WMSServer?request=GetCapabilities&service=WMS,NULL,wms
10.2909/bb32d49d-71ce-4a89-884a-e7e6fb118333,https://image.discomap.eea.europa.eu/arcgis/services/GioLandPublic/HRL_ImperviousnessClassifiedChange_09_12/MapServer/WMSServer?request=GetCapabilities&service=WMS,NULL,wms
10.2909/56b5c27b-ffaa-45c7-9b39-085dcbe725e4,https://image.discomap.eea.europa.eu/arcgis/services/GioLandPublic/HRL_ImperviousnessChange_12_15/MapServer/WMSServer?request=GetCapabilities&service=WMS,NULL,wms
10.2909/b862001d-6635-44c3-8448-d9e793188e8a,HRL_NVLCC_IMDC_20m,CLMS_NVLCC_IMDC_C2018-2021_R20m,wms
10.2909/62ab826c-9411-4dbf-b516-beb1db681830,https://image.discomap.eea.europa.eu/arcgis/services/GioLandPublic/HRL_ImperviousnessClassifiedChange_06_09/MapServer/WMSServer?request=GetCapabilities&service=WMS,NULL,wms
