subject_label,vocab_label,subject_id,subject_uri,vocab_identifier,cosine_score,ce_score
total nitrogen,nitrogen total,167984,,https://w3id.org/eusoilvoc#NitrogenTotal,0.9962,0.8552
soil-phosphorus,soil phosphorus loss,168014,,https://w3id.org/eusoilvoc#SoilPLoss,0.9081,0.6775
geochemistry & geophysics,physiography,168094,,https://w3id.org/eusoilvoc#Physiography,0.7279,0.6921
gas exchange,soil gaseous exchange,168126,,https://w3id.org/eusoilvoc#SoilGaseousExchange,0.6145,0.6595
regional development,land use,168220,,https://w3id.org/eusoilvoc#LandUse,0.6496,0.639
physical-properties,soil physical properties,168271,,https://w3id.org/eusoilvoc#SoilPhysicalProperties,0.862,0.7989
texture,texture lab class,168292,,https://w3id.org/eusoilvoc#TextureLabClass,0.7651,0.6036
red soil,soil redox potential,168316,,https://w3id.org/eusoilvoc#SoilRedoxPotential,0.8949,0.8441
subsoil,soil subsidence,168320,,https://w3id.org/eusoilvoc#SoilSubsidence,0.5256,0.6998
soil water index,soil water transmission index,168327,,https://w3id.org/eusoilvoc#SoilWaterTransmissionIndex,0.8998,0.7811
ecosystem degradation,soil ecological degradation,168375,,https://w3id.org/eusoilvoc#SoilEcologicalDegradation,0.8092,0.8063
ecosystem degradation,soil ecological degradation,168428,,https://w3id.org/eusoilvoc#SoilEcologicalDegradation,0.8092,0.8063
occupation des terres,soil properties,168631,,https://w3id.org/eusoilvoc#SoilProperties,0.8124,0.7345
usage des sols,land use,168632,,https://w3id.org/eusoilvoc#LandUse,0.9479,0.6586
bodeneigenschaften,soil physical properties,168696,,https://w3id.org/eusoilvoc#SoilPhysicalProperties,0.7601,0.796
geowissenschaften,geology,168773,,https://w3id.org/eusoilvoc#Geology,0.926,0.6157
atmosphärische bedingungen,environmental factors,168835,,https://w3id.org/eusoilvoc#EnvironmentalFactors,0.8032,0.8798
soil chemistry,soil chemical processes,168904,,https://w3id.org/eusoilvoc#SoilChemicalProcesses,0.9179,0.8995
landwirtschaft,land use,168923,,https://w3id.org/eusoilvoc#LandUse,0.8573,0.7693
apă din sol,soil water,168979,,https://w3id.org/eusoilvoc#SoilWater,0.974,0.8618
regim de utilizare a solului,land use,168982,,https://w3id.org/eusoilvoc#LandUse,0.9577,0.6183
plan de utilizare a terenului,land use class,168983,,https://w3id.org/eusoilvoc#LandUseClass,0.8146,0.7208
soil and root-associated microbiota,soil microbial biomass,169694,,https://w3id.org/eusoilvoc#SoilMicrobialBiomass,0.8608,0.638
eroziunea solurilor,soil erosion,169050,,https://w3id.org/eusoilvoc#SoilErosion,0.7784,0.8446
bodemtextuur,soil cohesion,169204,,https://w3id.org/eusoilvoc#SoilCohesion,0.9303,0.7473
bodemdegradatie,soil degradation,169215,,https://w3id.org/eusoilvoc#SoilDegradation,0.9483,0.7786
bodemorganisme,soil microfauna,169222,,https://w3id.org/eusoilvoc#SoilMicrofauna,0.8029,0.8324
bodemverzuring,soil salinization,169224,,https://w3id.org/eusoilvoc#SoilSalinization,0.7692,0.6263
doorsijpeling van water in de bodem,soil water retention,169228,,https://w3id.org/eusoilvoc#SoilWaterRetention,0.9264,0.7727
fertilitate a solului,soil productivity,169236,,https://w3id.org/eusoilvoc#SoilProductivity,0.985,0.7193
subsoil,soil subsidence,169728,,https://w3id.org/eusoilvoc#SoilSubsidence,0.5256,0.6998
bodenerosion durch wasser,soil water retention,169263,,https://w3id.org/eusoilvoc#SoilWaterRetention,0.8554,0.7323
texture,texture lab class,169292,,https://w3id.org/eusoilvoc#TextureLabClass,0.7651,0.6036
compactare a solului,soil compaction,169384,,https://w3id.org/eusoilvoc#SoilCompaction,0.9279,0.9608
salinizare a solului,soil salinity,169385,,https://w3id.org/eusoilvoc#SoilSalinity,0.8658,0.6487
acidifiere a solului,soil acidification,169386,,https://w3id.org/eusoilvoc#SoilAcidification,0.8939,0.9693
occupation des terres,soil properties,169393,,https://w3id.org/eusoilvoc#SoilProperties,0.8124,0.7345
sustainable agriculture,agricultural sustainability,169830,,https://w3id.org/eusoilvoc#AgriculturalSustainability,0.9506,0.9943
size distribution,soil aggregate size distribution,169951,,https://w3id.org/eusoilvoc#SoilAggregateSizeDistribution,0.5914,0.6128
soil microbiome,soil microbial biomass,169979,,https://w3id.org/eusoilvoc#SoilMicrobialBiomass,0.8796,0.9601
dry soil,soil colour dry,172809,,https://w3id.org/eusoilvoc#SoilColourDry,0.8771,0.941
sub-soil,soil subsidence,170034,,https://w3id.org/eusoilvoc#SoilSubsidence,0.6885,0.8214
soil-properties,soil properties,170072,,https://w3id.org/eusoilvoc#SoilProperties,0.9539,0.9322
wasserkapazität,water storage capacity,170091,,https://w3id.org/eusoilvoc#WaterStorageCapacity,0.8168,0.7015
wasserspeicherfähigkeit,water storage capacity,170092,,https://w3id.org/eusoilvoc#WaterStorageCapacity,0.8945,0.9786
elementcontentcadmium,cadmium total elements,170121,,https://w3id.org/eusoilvoc#CadmiumTotalElements,0.6546,0.8419
kationenaustauschkapazität,cation exchange capacity effective,170127,,https://w3id.org/eusoilvoc#CationExchangeCapacityEffective,0.747,0.9876
nitrogen-fixation,biological nitrogen fixation,172860,,https://w3id.org/eusoilvoc#BiologicalNitrogenFixation,0.8907,0.9361
heat-transfer,soil heat transfer,170313,,https://w3id.org/eusoilvoc#SoilHeatTransfer,0.6437,0.8115
soil loss,soil failure,173061,,https://w3id.org/eusoilvoc#SoilFailure,0.8938,0.7743
soil functioning,soil functions,173066,,https://w3id.org/eusoilvoc#SoilFunctions,0.9527,0.69
decomposer,peat decompostion,173084,,https://w3id.org/eusoilvoc#PeatDecompostion,0.7171,0.651
n loss,soil nitrogen loss,173093,,https://w3id.org/eusoilvoc#SoilNLoss,0.6413,0.6753
farming sustainability,agricultural sustainability,173106,,https://w3id.org/eusoilvoc#AgriculturalSustainability,0.9419,0.7655
soil physicochemical and biological properties,soil physical properties,173136,,https://w3id.org/eusoilvoc#SoilPhysicalProperties,0.9594,0.7245
organic matter,soil organic matter class,170810,,https://w3id.org/eusoilvoc#SoilOrganicMatterClass,0.7106,0.8396
