"id","record_id","name","format","url","description"
48478,"https://registry.gdi-de.org/id/de.be.csw/20ad8cd6-d70f-3ae7-8254-49b1b2de2a06",NULL,"Darstellungsdienst - Bodenarten 2020 (Umweltatlas) (WMS)","https%3A%2F%2Fgdi.berlin.de%2Fservices%2Fwms%2Fua_bodenarten_2020%3Frequest%3DGetCapabilities%26service%3DWMS","Darstellungsdienst - Bodenarten 2020 (Umweltatlas) (WMS)"
48479,"https://registry.gdi-de.org/id/de.be.csw/20ad8cd6-d70f-3ae7-8254-49b1b2de2a06",NULL,"Darstellungsdienst - Nutzbare Feldkapazität der Böden für Flachwurzler 2020 (Umweltatlas) (WMS)","https%3A%2F%2Fgdi.berlin.de%2Fservices%2Fwms%2Fua_boden_nfk30_2020%3Frequest%3DGetCapabilities%26service%3DWMS","Darstellungsdienst - Nutzbare Feldkapazität der Böden für Flachwurzler 2020 (Umweltatlas) (WMS)"
48480,"https://registry.gdi-de.org/id/de.be.csw/20ad8cd6-d70f-3ae7-8254-49b1b2de2a06",NULL,"Darstellungsdienst - Nutzbare Feldkapazität der Böden des effektiven Wurzelraumes 2020 (Umweltatlas) (WMS)","https%3A%2F%2Fgdi.berlin.de%2Fservices%2Fwms%2Fua_boden_nfkwe_2020%3Frequest%3DGetCapabilities%26service%3DWMS","Darstellungsdienst - Nutzbare Feldkapazität der Böden des effektiven Wurzelraumes 2020 (Umweltatlas) (WMS)"
48481,"https://registry.gdi-de.org/id/de.be.csw/20ad8cd6-d70f-3ae7-8254-49b1b2de2a06",NULL,"Darstellungsdienst - Humusmenge der Böden 2020 (Umweltatlas) (WMS)","https%3A%2F%2Fgdi.berlin.de%2Fservices%2Fwms%2Fua_boden_humus_2020%3Frequest%3DGetCapabilities%26service%3DWMS","Darstellungsdienst - Humusmenge der Böden 2020 (Umweltatlas) (WMS)"
48482,"https://registry.gdi-de.org/id/de.be.csw/20ad8cd6-d70f-3ae7-8254-49b1b2de2a06",NULL,"Darstellungsdienst - pH-Werte des Oberbodens 2020 (Umweltatlas) (WMS)","https%3A%2F%2Fgdi.berlin.de%2Fservices%2Fwms%2Fua_boden_ph_2020%3Frequest%3DGetCapabilities%26service%3DWMS","Darstellungsdienst - pH-Werte des Oberbodens 2020 (Umweltatlas) (WMS)"
48483,"https://registry.gdi-de.org/id/de.be.csw/20ad8cd6-d70f-3ae7-8254-49b1b2de2a06",NULL,"Darstellungsdienst - Summe austauschbarer basischer Kationen des Oberbodens (S-Wert) 2020 (Umweltatlas) (WMS)","https%3A%2F%2Fgdi.berlin.de%2Fservices%2Fwms%2Fua_boden_sumkat_2020%3Frequest%3DGetCapabilities%26service%3DWMS","Darstellungsdienst - Summe austauschbarer basischer Kationen des Oberbodens (S-Wert) 2020 (Umweltatlas) (WMS)"
48484,"https://registry.gdi-de.org/id/de.be.csw/20ad8cd6-d70f-3ae7-8254-49b1b2de2a06",NULL,"Darstellungsdienst - Mittlere effektive Kationenaustauschkapazität (KAKeff) der Böden 2020 (Umweltatlas) (WMS)","https%3A%2F%2Fgdi.berlin.de%2Fservices%2Fwms%2Fua_boden_kakeff_2020%3Frequest%3DGetCapabilities%26service%3DWMS","Darstellungsdienst - Mittlere effektive Kationenaustauschkapazität (KAKeff) der Böden 2020 (Umweltatlas) (WMS)"
48485,"https://registry.gdi-de.org/id/de.be.csw/20ad8cd6-d70f-3ae7-8254-49b1b2de2a06",NULL,"Darstellungsdienst - Gesättigte Wasserleitfähigkeit (kf-Wert) der Böden 2020 (Umweltatlas) (WMS)","https%3A%2F%2Fgdi.berlin.de%2Fservices%2Fwms%2Fua_boden_kf_2020%3Frequest%3DGetCapabilities%26service%3DWMS","Darstellungsdienst - Gesättigte Wasserleitfähigkeit (kf-Wert) der Böden 2020 (Umweltatlas) (WMS)"
48486,"https://registry.gdi-de.org/id/de.be.csw/20ad8cd6-d70f-3ae7-8254-49b1b2de2a06",NULL,"Darstellungsdienst - Organischer Kohlenstoffvorrat der Böden 2020 (Umweltatlas) (WMS)","https%3A%2F%2Fgdi.berlin.de%2Fservices%2Fwms%2Fua_boden_corg_2020%3Frequest%3DGetCapabilities%26service%3DWMS","Darstellungsdienst - Organischer Kohlenstoffvorrat der Böden 2020 (Umweltatlas) (WMS)"
48487,"https://registry.gdi-de.org/id/de.be.csw/20ad8cd6-d70f-3ae7-8254-49b1b2de2a06",NULL,"Downloaddienst - Bodenarten 2020 (Umweltatlas) (WFS)","https%3A%2F%2Fgdi.berlin.de%2Fservices%2Fwfs%2Fua_bodenarten_2020%3Frequest%3DGetCapabilities%26service%3DWFS","Downloaddienst - Bodenarten 2020 (Umweltatlas) (WFS)"
48488,"https://registry.gdi-de.org/id/de.be.csw/20ad8cd6-d70f-3ae7-8254-49b1b2de2a06",NULL,"Downloaddienst - Nutzbare Feldkapazität der Böden für Flachwurzler 2020 (Umweltatlas) (WFS)","https%3A%2F%2Fgdi.berlin.de%2Fservices%2Fwfs%2Fua_boden_nfk30_2020%3Frequest%3DGetCapabilities%26service%3DWFS","Downloaddienst - Nutzbare Feldkapazität der Böden für Flachwurzler 2020 (Umweltatlas) (WFS)"
48489,"https://registry.gdi-de.org/id/de.be.csw/20ad8cd6-d70f-3ae7-8254-49b1b2de2a06",NULL,"Downloaddienst - Nutzbare Feldkapazität der Böden des effektiven Wurzelraumes 2020 (Umweltatlas) (WFS)","https%3A%2F%2Fgdi.berlin.de%2Fservices%2Fwfs%2Fua_boden_nfkwe_2020%3Frequest%3DGetCapabilities%26service%3DWFS","Downloaddienst - Nutzbare Feldkapazität der Böden des effektiven Wurzelraumes 2020 (Umweltatlas) (WFS)"
48490,"https://registry.gdi-de.org/id/de.be.csw/20ad8cd6-d70f-3ae7-8254-49b1b2de2a06",NULL,"Downloaddienst - Humusmenge der Böden 2020 (Umweltatlas) (WFS)","https%3A%2F%2Fgdi.berlin.de%2Fservices%2Fwfs%2Fua_boden_humus_2020%3Frequest%3DGetCapabilities%26service%3DWFS","Downloaddienst - Humusmenge der Böden 2020 (Umweltatlas) (WFS)"
48491,"https://registry.gdi-de.org/id/de.be.csw/20ad8cd6-d70f-3ae7-8254-49b1b2de2a06",NULL,"Downloaddienst - Organischer Kohlenstoffvorrat der Böden 2020 (Umweltatlas) (WFS)","https%3A%2F%2Fgdi.berlin.de%2Fservices%2Fwfs%2Fua_boden_corg_2020%3Frequest%3DGetCapabilities%26service%3DWFS","Downloaddienst - Organischer Kohlenstoffvorrat der Böden 2020 (Umweltatlas) (WFS)"
48492,"https://registry.gdi-de.org/id/de.be.csw/20ad8cd6-d70f-3ae7-8254-49b1b2de2a06",NULL,"Downloaddienst - pH-Werte des Oberbodens 2020 (Umweltatlas) (WFS)","https%3A%2F%2Fgdi.berlin.de%2Fservices%2Fwfs%2Fua_boden_ph_2020%3Frequest%3DGetCapabilities%26service%3DWFS","Downloaddienst - pH-Werte des Oberbodens 2020 (Umweltatlas) (WFS)"
48493,"https://registry.gdi-de.org/id/de.be.csw/20ad8cd6-d70f-3ae7-8254-49b1b2de2a06",NULL,"Downloaddienst - Summe austauschbarer basischer Kationen des Oberbodens (S-Wert) 2020 (Umweltatlas) (WFS)","https%3A%2F%2Fgdi.berlin.de%2Fservices%2Fwfs%2Fua_boden_sumkat_2020%3Frequest%3DGetCapabilities%26service%3DWFS","Downloaddienst - Summe austauschbarer basischer Kationen des Oberbodens (S-Wert) 2020 (Umweltatlas) (WFS)"
